date,sector,sentiment,coverage,headline_count,lagged_sentiment,sentiment_0_100
2021-02-05,Utilities,0.06764,0.6,3,0.056179999999999994,53.382
2021-02-08,Utilities,0.08726,0.4,3,0.06764,54.36300000000001
2021-02-09,Utilities,0.05464,0.2,1,0.08726,52.732
2021-02-10,Utilities,0.08463,0.4,4,0.05464,54.2315
2021-02-11,Utilities,-0.009659999999999998,0.8,6,0.08463,49.517
2021-02-12,Utilities,0.11191999999999999,0.6,7,-0.009659999999999998,55.596000000000004
2021-02-16,Utilities,0.33837,0.8,9,0.11191999999999999,66.91850000000001
2021-02-17,Utilities,0.2889,1.0,7,0.33837,64.445
2021-02-18,Utilities,0.19068000000000002,0.8,6,0.2889,59.534
2021-02-19,Utilities,0.2403,0.4,2,0.19068000000000002,62.015
2021-02-22,Utilities,0.16392,0.6,5,0.2403,58.196000000000005
2021-02-23,Utilities,0.07258,0.6,5,0.16392,53.629000000000005
2021-02-24,Utilities,-0.03188,0.6,4,0.07258,48.406
2021-02-25,Utilities,0.0,0.6,5,-0.03188,50.0
2021-02-26,Utilities,-0.059199999999999996,0.6,3,0.0,47.04
2021-03-01,Utilities,0.037380000000000004,0.6,3,-0.059199999999999996,51.869
2021-03-02,Utilities,-0.05671999999999999,0.8,6,0.037380000000000004,47.164
2021-03-03,Utilities,0.04046,0.2,1,-0.05671999999999999,52.022999999999996
2021-03-04,Utilities,0.11126,0.2,1,0.04046,55.562999999999995
2021-03-05,Utilities,0.038939999999999995,0.2,3,0.11126,51.946999999999996
2021-03-08,Utilities,-0.04019,0.4,3,0.038939999999999995,47.990500000000004
2021-03-09,Utilities,-0.03412,0.4,2,-0.04019,48.294
2021-03-10,Utilities,0.15676,0.4,2,-0.03412,57.838
2021-03-11,Utilities,0.0,0.0,0,0.15676,50.0
2021-03-12,Utilities,0.1127,0.4,2,0.0,55.635
2021-03-15,Utilities,0.14944,0.6,5,0.1127,57.472
2021-03-16,Utilities,0.03833333333333333,0.6,5,0.14944,51.916666666666664
2021-03-17,Utilities,0.0,0.0,0,0.03833333333333333,50.0
2021-03-18,Utilities,0.068,0.4,2,0.0,53.400000000000006
2021-03-19,Utilities,0.0,0.0,0,0.068,50.0
2021-03-22,Utilities,0.0,0.0,0,0.0,50.0
2021-03-23,Utilities,0.02732,0.4,3,0.0,51.366
2021-03-24,Utilities,0.0,0.0,0,0.02732,50.0
2021-03-25,Utilities,0.17796,0.4,4,0.0,58.898
2021-03-26,Utilities,0.059199999999999996,0.2,1,0.17796,52.959999999999994
2021-03-29,Utilities,0.18943499999999996,0.4,5,0.059199999999999996,59.47175
2021-03-30,Utilities,0.0,0.2,1,0.18943499999999996,50.0
2021-03-31,Utilities,0.05464,0.4,2,0.0,52.732
2021-04-01,Utilities,0.042293333333333336,0.6,5,0.05464,52.114666666666665
2021-04-05,Utilities,0.053239999999999996,0.6,6,0.042293333333333336,52.662
2021-04-06,Utilities,0.0,0.4,3,0.053239999999999996,50.0
2021-04-07,Utilities,0.05464,0.4,2,0.0,52.732
2021-04-08,Utilities,0.23976000000000003,0.6,3,0.05464,61.988
2021-04-09,Utilities,0.05464,0.2,1,0.23976000000000003,52.732
2021-04-12,Utilities,0.20356000000000002,0.6,3,0.05464,60.178
2021-04-13,Utilities,0.045533333333333335,0.6,6,0.20356000000000002,52.27666666666667
2021-04-14,Utilities,0.34237,0.8,5,0.045533333333333335,67.1185
2021-04-15,Utilities,0.07200999999999999,0.2,2,0.34237,53.6005
2021-04-16,Utilities,0.0,0.0,0,0.07200999999999999,50.0
2021-04-19,Utilities,0.04523,0.4,7,0.0,52.261500000000005
2021-04-20,Utilities,0.19656,0.6,4,0.04523,59.828
2021-04-21,Utilities,0.07261428571428571,0.4,8,0.19656,53.63071428571429
2021-04-22,Utilities,0.11128500000000001,0.6,7,0.07261428571428571,55.56425
2021-04-23,Utilities,0.05464,0.6,3,0.11128500000000001,52.732
2021-04-26,Utilities,0.0655,0.6,5,0.05464,53.275000000000006
2021-04-27,Utilities,0.04525,0.6,4,0.0655,52.2625
2021-04-28,Utilities,0.10695999999999999,0.6,4,0.04525,55.348
2021-04-29,Utilities,0.0,0.2,2,0.10695999999999999,50.0
2021-04-30,Utilities,0.197405,1.0,10,0.0,59.870250000000006
2021-05-03,Utilities,0.1341,0.4,3,0.197405,56.705000000000005
2021-05-04,Utilities,0.21564,0.6,4,0.1341,60.782000000000004
2021-05-05,Utilities,0.04424,0.6,5,0.21564,52.212
2021-05-06,Utilities,0.0,0.2,1,0.04424,50.0
2021-05-07,Utilities,0.11383999999999998,0.6,4,0.0,55.692
2021-05-10,Utilities,0.3546714285714286,0.8,10,0.11383999999999998,67.73357142857142
2021-05-11,Utilities,0.0,0.0,0,0.3546714285714286,50.0
2021-05-12,Utilities,0.13502,0.6,4,0.0,56.751
2021-05-13,Utilities,0.07636,0.4,2,0.13502,53.818
2021-05-14,Utilities,0.10212000000000002,0.2,1,0.07636,55.106
2021-05-17,Utilities,0.05464,0.4,3,0.10212000000000002,52.732
2021-05-18,Utilities,0.07224,0.4,2,0.05464,53.612
2021-05-19,Utilities,0.13816,0.2,1,0.07224,56.908
2021-05-20,Utilities,0.19335,1.0,7,0.13816,59.6675
2021-05-21,Utilities,0.12738,0.6,3,0.19335,56.369
2021-05-24,Utilities,0.16821999999999998,0.6,5,0.12738,58.411
2021-05-25,Utilities,0.05464,0.2,1,0.16821999999999998,52.732
2021-05-26,Utilities,0.0743,0.2,2,0.05464,53.715
2021-05-27,Utilities,0.14538,0.4,2,0.0743,57.269000000000005
2021-05-28,Utilities,0.05464,0.2,2,0.14538,52.732
2021-06-01,Utilities,0.12061,0.6,4,0.05464,56.0305
2021-06-02,Utilities,0.26078,0.6,3,0.12061,63.039
2021-06-03,Utilities,0.0,0.8,5,0.26078,50.0
2021-06-04,Utilities,0.12493000000000001,0.2,2,0.0,56.2465
2021-06-07,Utilities,0.0,0.0,0,0.12493000000000001,50.0
2021-06-08,Utilities,0.12498000000000001,0.6,5,0.0,56.249
2021-06-09,Utilities,0.05464,0.4,2,0.12498000000000001,52.732
2021-06-10,Utilities,0.0,0.2,1,0.05464,50.0
2021-06-11,Utilities,0.0,0.4,2,0.0,50.0
2021-06-14,Utilities,0.141205,0.6,7,0.0,57.06025
2021-06-15,Utilities,0.12498000000000001,0.2,1,0.141205,56.249
2021-06-16,Utilities,0.0,0.4,2,0.12498000000000001,50.0
2021-06-17,Utilities,0.08038,0.2,1,0.0,54.01899999999999
2021-06-18,Utilities,0.0,0.2,1,0.08038,50.0
2021-06-21,Utilities,0.10058166666666665,0.8,9,0.0,55.029083333333325
2021-06-22,Utilities,0.0,0.0,0,0.10058166666666665,50.0
2021-06-23,Utilities,-0.05519,0.4,3,0.0,47.240500000000004
2021-06-24,Utilities,0.21954,0.4,3,-0.05519,60.977000000000004
2021-06-25,Utilities,0.14192,0.2,1,0.21954,57.096000000000004
2021-06-28,Utilities,0.20499,0.6,4,0.14192,60.2495
2021-06-29,Utilities,0.1775,0.6,3,0.20499,58.875
2021-06-30,Utilities,0.04939,0.2,2,0.1775,52.469500000000004
2021-07-01,Utilities,0.02732,0.2,2,0.04939,51.366
2021-07-02,Utilities,0.05464,0.2,1,0.02732,52.732
2021-07-06,Utilities,0.08856,0.4,3,0.05464,54.428
2021-07-07,Utilities,0.059199999999999996,0.2,1,0.08856,52.959999999999994
2021-07-08,Utilities,0.12696999999999997,0.2,2,0.059199999999999996,56.3485
2021-07-09,Utilities,0.02732,0.2,2,0.12696999999999997,51.366
2021-07-12,Utilities,0.03642666666666667,0.4,6,0.02732,51.82133333333333
2021-07-13,Utilities,0.04182,0.4,2,0.03642666666666667,52.091
2021-07-14,Utilities,0.068,0.2,1,0.04182,53.400000000000006
2021-07-15,Utilities,-0.06364,0.2,1,0.068,46.818
2021-07-16,Utilities,0.19391,0.6,8,-0.06364,59.6955
2021-07-19,Utilities,0.0341,0.6,4,0.19391,51.705
2021-07-20,Utilities,0.05464,0.4,2,0.0341,52.732
2021-07-21,Utilities,-0.03182,0.4,3,0.05464,48.409
2021-07-22,Utilities,0.041695,0.4,5,-0.03182,52.08475
2021-07-23,Utilities,0.10084000000000001,0.4,4,0.041695,55.042
2021-07-26,Utilities,0.27130333333333334,0.8,9,0.10084000000000001,63.56516666666667
2021-07-27,Utilities,0.0,0.2,1,0.27130333333333334,50.0
2021-07-28,Utilities,0.0,0.2,1,0.0,50.0
2021-07-29,Utilities,0.09878,0.6,4,0.0,54.93900000000001
2021-07-30,Utilities,0.0,0.4,2,0.09878,50.0
2021-08-02,Utilities,-0.09324999999999999,0.6,5,0.0,45.337500000000006
2021-08-03,Utilities,0.0,0.2,1,-0.09324999999999999,50.0
2021-08-04,Utilities,0.02732,0.2,2,0.0,51.366
2021-08-05,Utilities,0.17333333333333334,1.0,7,0.02732,58.666666666666664
2021-08-06,Utilities,0.06651,0.4,6,0.17333333333333334,53.325500000000005
